Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
D1;26.02.2012;1;7;3;1;H;1;0;H;21;7;6;2;13;14;4;2;3;4;0;0
D1;03.03.2012;1;17;2;1;H;1;0;H;18;5;5;3;11;15;5;2;0;0;0;0
D1;03.03.2012;4;12;2;1;H;1;0;H;11;15;2;4;16;20;6;4;2;1;0;1
D1;03.03.2012;2;11;0;4;A;0;2;A;9;15;3;8;14;26;1;4;1;3;1;0
D1;03.03.2012;7;3;2;2;D;1;1;D;12;15;3;7;16;29;1;4;1;3;1;0
D1;03.03.2012;9;13;1;0;H;0;0;D;5;17;2;3;13;19;0;7;2;1;0;0
D1;03.03.2012;14;6;0;0;D;0;0;D;12;15;5;6;12;22;6;9;2;1;0;0
D1;03.03.2012;18;15;2;0;H;0;0;D;15;15;8;5;17;15;3;8;2;3;0;0
D1;04.03.2012;8;5;1;1;D;1;0;H;23;9;7;3;21;18;7;2;3;2;0;0
D1;04.03.2012;10;16;1;0;H;0;0;D;16;8;4;4;13;11;5;0;1;1;0;0
D1;09.03.2012;11;14;0;0;D;0;0;D;22;7;9;1;11;22;8;3;0;0;0;0
D1;10.03.2012;3;1;0;0;D;0;0;D;4;14;2;3;16;16;2;5;2;2;0;0
D1;10.03.2012;15;8;7;1;H;5;0;H;19;4;10;0;11;16;13;4;0;1;0;0
D1;10.03.2012;5;9;1;0;H;1;0;H;16;14;5;7;13;22;5;5;2;3;2;1
D1;10.03.2012;17;10;2;1;H;2;0;H;13;15;3;2;18;19;4;5;0;5;1;0
D1;10.03.2012;16;4;0;0;D;0;0;D;13;6;3;3;8;9;3;4;2;1;0;0
D1;10.03.2012;6;18;3;2;H;2;1;H;11;7;6;4;25;16;4;3;5;1;0;0
D1;11.03.2012;12;2;3;1;H;3;1;H;11;20;7;5;20;16;4;7;3;4;0;0
D1;11.03.2012;13;7;3;0;H;1;0;H;10;14;7;4;16;29;2;3;0;4;0;0
D1;16.03.2012;8;11;1;2;A;0;2;A;18;12;5;8;19;19;3;6;1;2;0;0
D1;17.03.2012;3;17;2;1;H;1;1;D;10;10;5;3;12;21;6;2;2;2;0;0
D1;17.03.2012;1;13;1;0;H;1;0;H;18;4;5;2;11;17;9;4;1;3;0;0
D1;17.03.2012;2;4;1;3;A;0;2;A;15;12;6;5;16;25;4;5;0;3;0;0
D1;17.03.2012;9;15;0;6;A;0;3;A;7;15;2;7;15;9;2;4;3;1;0;0
D1;17.03.2012;18;16;1;2;A;0;1;A;22;11;5;7;16;16;4;1;2;2;0;0
D1;17.03.2012;10;6;1;3;A;1;2;A;5;10;1;4;16;16;2;5;0;1;0;0
D1;18.03.2012;7;5;4;1;H;1;1;D;18;14;10;7;12;17;8;7;0;1;0;0
D1;18.03.2012;14;12;1;4;A;1;2;A;10;19;3;5;13;15;3;5;0;0;0;0
D1;23.03.2012;6;2;2;1;H;0;0;D;15;6;4;1;25;16;10;3;4;2;0;0
D1;24.03.2012;15;7;2;1;H;1;0;H;12;8;6;2;16;15;6;1;1;2;0;0
D1;24.03.2012;4;14;2;0;H;2;0;H;10;4;3;4;24;17;4;2;2;1;0;0
D1;24.03.2012;17;9;1;3;A;0;1;A;15;13;4;6;13;8;12;8;1;1;0;0
D1;24.03.2012;16;8;1;2;A;1;0;H;12;13;3;3;15;19;3;3;3;3;0;0
D1;24.03.2012;12;18;2;0;H;1;0;H;17;8;6;2;14;11;6;3;1;2;0;0
D1;24.03.2012;13;3;1;1;D;0;0;D;17;15;5;6;19;15;4;6;3;3;0;0
D1;25.03.2012;5;1;1;6;A;1;1;D;5;15;3;9;15;11;2;3;1;0;0;0
D1;25.03.2012;11;10;1;0;H;0;0;D;8;17;2;3;15;15;4;14;2;2;0;0
D1;30.03.2012;1;11;4;4;D;1;0;H;27;11;10;4;8;10;11;5;2;1;0;0
D1;31.03.2012;3;5;2;1;H;2;1;H;14;4;8;3;12;31;11;1;1;4;0;0
D1;31.03.2012;9;6;1;4;A;1;2;A;13;13;6;6;9;10;7;1;1;0;0;0
D1;31.03.2012;14;2;0;1;A;0;1;A;18;12;6;5;24;14;10;5;4;2;0;0
D1;31.03.2012;18;4;0;2;A;0;1;A;11;8;4;4;17;22;3;1;1;4;0;0
D1;31.03.2012;10;15;0;1;A;0;0;D;6;12;3;4;24;15;6;6;2;2;0;0
D1;31.03.2012;13;17;0;3;A;0;1;A;19;9;7;5;16;14;7;0;1;2;0;0
D1;01.04.2012;7;16;2;1;H;0;0;D;12;14;3;6;8;9;5;6;0;1;0;0
D1;01.04.2012;8;12;1;1;D;1;0;H;15;19;5;7;23;16;5;4;2;4;0;0
D1;07.04.2012;15;3;2;1;H;1;1;D;18;7;5;3;15;14;3;5;1;0;0;0
D1;07.04.2012;5;13;1;1;D;1;1;D;13;7;4;1;19;19;7;9;3;2;0;0
D1;07.04.2012;4;10;2;2;D;0;2;A;12;14;3;5;22;24;5;7;3;4;0;0
