Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;Spalte18;Spalte19
D1;29.10.2011;M'gladbach;Hannover;2;1;H;1;1;D;18;14;8;2;14;16;5;5;0;3;0;0;;;;;;;;;;;;;;;;;;;
D1;29.10.2011;Schalke 04;Hoffenheim;3;1;H;1;0;H;16;11;10;2;20;20;5;4;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;29.10.2011;Stuttgart;Dortmund;1;1;D;1;1;D;12;15;6;6;18;13;6;7;3;2;0;0;;;;;;;;;;;;;;;;;;;
D1;29.10.2011;Wolfsburg;Hertha;2;3;A;1;2;A;17;12;5;7;24;13;6;7;3;2;0;0;;;;;;;;;;;;;;;;;;;
D1;30.10.2011;FC Koln;Augsburg;3;0;H;2;0;H;5;15;3;5;17;13;1;2;1;2;0;1;;;;;;;;;;;;;;;;;;;
D1;30.10.2011;Hamburg;Kaiserslautern;1;1;D;0;1;A;16;11;5;5;18;23;4;3;2;2;1;0;;;;;;;;;;;;;;;;;;;
D1;04.11.2011;Mainz;Stuttgart;3;1;H;0;0;D;15;18;9;7;18;16;4;6;2;3;1;1;;;;;;;;;;;;;;;;;;;
D1;05.11.2011;Dortmund;Wolfsburg;5;1;H;2;0;H;21;6;11;3;12;18;8;6;1;4;0;0;;;;;;;;;;;;;;;;;;;
D1;05.11.2011;Hertha;M'gladbach;1;2;A;1;1;D;11;12;3;5;18;14;5;4;0;2;0;0;;;;;;;;;;;;;;;;;;;
D1;05.11.2011;Hoffenheim;Kaiserslautern;1;1;D;1;0;H;11;19;3;3;23;21;4;3;5;1;0;0;;;;;;;;;;;;;;;;;;;
D1;05.11.2011;Leverkusen;Hamburg;2;2;D;2;1;H;15;14;5;3;18;17;5;4;2;1;0;0;;;;;;;;;;;;;;;;;;;
D1;05.11.2011;Nurnberg;Freiburg;1;2;A;1;1;D;12;10;4;3;14;20;5;2;4;1;0;0;;;;;;;;;;;;;;;;;;;
D1;05.11.2011;Werder Bremen;FC Koln;3;2;H;0;2;A;29;5;7;4;13;14;10;4;3;3;0;1;;;;;;;;;;;;;;;;;;;
D1;06.11.2011;Augsburg;Bayern Munich;1;2;A;0;2;A;10;14;2;5;17;15;1;3;1;2;0;1;;;;;;;;;;;;;;;;;;;
D1;06.11.2011;Hannover;Schalke 04;2;2;D;1;1;D;16;13;2;7;14;17;2;5;2;4;0;0;;;;;;;;;;;;;;;;;;;
D1;18.11.2011;Kaiserslautern;Leverkusen;0;2;A;0;0;D;13;14;3;8;12;16;8;2;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;19.11.2011;Bayern Munich;Dortmund;0;1;A;0;0;D;16;8;3;2;15;25;3;3;2;1;0;0;;;;;;;;;;;;;;;;;;;
D1;19.11.2011;Freiburg;Hertha;2;2;D;0;2;A;13;14;6;7;19;19;6;4;2;5;0;0;;;;;;;;;;;;;;;;;;;
D1;19.11.2011;M'gladbach;Werder Bremen;5;0;H;3;0;H;16;10;9;2;11;10;6;4;0;0;0;1;;;;;;;;;;;;;;;;;;;
D1;19.11.2011;Schalke 04;Nurnberg;4;0;H;2;0;H;11;14;7;4;13;16;4;8;2;3;0;0;;;;;;;;;;;;;;;;;;;
D1;19.11.2011;Wolfsburg;Hannover;4;1;H;2;1;H;14;7;8;2;18;12;9;8;1;2;0;1;;;;;;;;;;;;;;;;;;;
D1;20.11.2011;Hamburg;Hoffenheim;2;0;H;1;0;H;18;19;7;8;17;15;6;3;0;3;0;0;;;;;;;;;;;;;;;;;;;
D1;20.11.2011;Stuttgart;Augsburg;2;1;H;1;0;H;11;15;5;6;24;18;5;4;2;3;0;0;;;;;;;;;;;;;;;;;;;
D1;25.11.2011;FC Koln;M'gladbach;0;3;A;0;2;A;5;15;2;7;14;10;6;2;1;1;0;0;;;;;;;;;;;;;;;;;;;
D1;26.11.2011;Augsburg;Wolfsburg;2;0;H;0;0;D;14;7;5;0;16;27;7;4;3;3;0;0;;;;;;;;;;;;;;;;;;;
D1;26.11.2011;Dortmund;Schalke 04;2;0;H;1;0;H;16;3;8;1;24;24;3;2;1;4;0;0;;;;;;;;;;;;;;;;;;;
D1;26.11.2011;Hannover;Hamburg;1;1;D;0;0;D;11;18;9;7;14;21;4;8;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;26.11.2011;Hertha;Leverkusen;3;3;D;2;1;H;10;18;6;8;18;14;1;5;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;26.11.2011;Hoffenheim;Freiburg;1;1;D;1;0;H;15;14;3;7;19;18;4;1;2;3;0;0;;;;;;;;;;;;;;;;;;;
D1;26.11.2011;Nurnberg;Kaiserslautern;1;0;H;1;0;H;13;6;6;1;21;25;6;1;4;1;0;0;;;;;;;;;;;;;;;;;;;
D1;27.11.2011;Mainz;Bayern Munich;3;2;H;1;0;H;17;13;7;8;18;20;3;2;3;2;0;0;;;;;;;;;;;;;;;;;;;
D1;27.11.2011;Werder Bremen;Stuttgart;2;0;H;0;0;D;14;14;6;5;19;21;4;5;1;4;0;0;;;;;;;;;;;;;;;;;;;
D1;02.12.2011;Leverkusen;Hoffenheim;2;0;H;1;0;H;12;6;5;1;12;28;4;7;2;2;0;0;;;;;;;;;;;;;;;;;;;
D1;03.12.2011;Bayern Munich;Werder Bremen;4;1;H;1;0;H;14;7;4;4;23;21;8;4;1;2;0;1;;;;;;;;;;;;;;;;;;;
D1;03.12.2011;Freiburg;Hannover;1;1;D;0;1;A;15;12;5;4;12;20;5;4;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;03.12.2011;Kaiserslautern;Hertha;1;1;D;1;1;D;21;6;4;3;18;16;5;0;3;1;0;0;;;;;;;;;;;;;;;;;;;
D1;03.12.2011;M'gladbach;Dortmund;1;1;D;0;1;A;13;11;3;4;9;18;3;10;0;2;0;0;;;;;;;;;;;;;;;;;;;
D1;03.12.2011;Stuttgart;FC Koln;2;2;D;2;1;H;18;10;8;4;12;20;8;2;3;4;0;0;;;;;;;;;;;;;;;;;;;
D1;03.12.2011;Wolfsburg;Mainz;2;2;D;2;0;H;6;11;4;2;15;18;6;3;2;1;1;0;;;;;;;;;;;;;;;;;;;
D1;04.12.2011;Hamburg;Nurnberg;2;0;H;1;0;H;7;16;3;3;17;17;0;3;3;1;0;0;;;;;;;;;;;;;;;;;;;
D1;04.12.2011;Schalke 04;Augsburg;3;1;H;1;0;H;19;11;11;2;11;13;8;2;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;09.12.2011;Hertha;Schalke 04;1;2;A;1;2;A;15;11;4;4;13;16;11;3;0;1;0;0;;;;;;;;;;;;;;;;;;;
D1;10.12.2011;Augsburg;M'gladbach;1;0;H;0;0;D;11;13;5;5;22;22;5;4;3;2;0;0;;;;;;;;;;;;;;;;;;;
D1;10.12.2011;FC Koln;Freiburg;4;0;H;1;0;H;14;11;6;5;9;12;4;2;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;10.12.2011;Hannover;Leverkusen;0;0;D;0;0;D;17;12;4;4;22;18;9;3;0;2;0;0;;;;;;;;;;;;;;;;;;;
D1;10.12.2011;Mainz;Hamburg;0;0;D;0;0;D;12;8;5;5;16;11;4;5;1;0;0;0;;;;;;;;;;;;;;;;;;;
D1;10.12.2011;Nurnberg;Hoffenheim;0;2;A;0;1;A;8;15;3;6;19;14;4;10;3;3;1;1;;;;;;;;;;;;;;;;;;;
D1;10.12.2011;Werder Bremen;Wolfsburg;4;1;H;2;0;H;20;17;11;6;17;19;2;7;1;3;0;0;;;;;;;;;;;;;;;;;;;
D1;11.12.2011;Dortmund;Kaiserslautern;1;1;D;1;0;H;23;12;5;3;12;25;9;4;1;2;0;0;;;;;;;;;;;;;;;;;;;
D1;11.12.2011;Stuttgart;Bayern Munich;1;2;A;1;1;D;6;18;2;5;16;10;3;6;3;4;1;0;;;;;;;;;;;;;;;;;;;
D1;13.12.2011;FC Koln;Mainz;1;1;D;0;0;D;12;12;3;2;11;27;4;7;2;4;0;0;;;;;;;;;;;;;;;;;;;
D1;16.12.2011;Bayern Munich;FC Koln;3;0;H;0;0;D;17;4;5;1;15;17;10;3;0;4;1;0;;;;;;;;;;;;;;;;;;;
D1;17.12.2011;Freiburg;Dortmund;1;4;A;1;2;A;14;11;3;5;14;11;3;3;1;1;0;0;;;;;;;;;;;;;;;;;;;
